ssn|cc_num|first|last|gender|job|dob|acct_num|trans_num|trans_date|trans_time|unix_time|category|amt|merchant|ip_address|payment_type
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|f7e3e148103e8c683cb0891e040afcc1|2021-01-21|13:22:27|1611235347|food_dining|17.13|Hansen PLC|211.155.239.182|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|13c8ec292527efbc8321f083c3afd380|2021-01-06|00:29:58|1609892998|gas_transport|71.78|Mills, Gould and Gonzalez|211.99.182.226|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|88f143e018403470bdfbe236867b1f49|2021-01-30|15:34:22|1612020862|personal_care|66.99|Clark Group|191.154.106.72|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|90c829422197cd943e7bf2e54d9a63bb|2021-01-19|11:24:23|1611055463|gas_transport|76.74|Gonzalez Group|173.80.63.81|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|9748a228f39ee8075c4eb1336e6004f6|2021-01-22|21:48:42|1611352122|food_dining|7.68|Acosta, Taylor and Byrd|103.123.214.241|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|79ffc7a3ff168c41f789806fdcf9e702|2021-01-08|21:18:39|1610140719|shopping_net|9.80|Lewis-Moore|34.153.127.220|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|3203bc501192a23e3f397804c683eec5|2021-01-08|15:19:29|1610119169|kids_pets|129.32|Nguyen, Santiago and Spencer|181.106.149.51|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|5c4cd745459151765cc1b6dc071b731d|2021-01-16|16:38:11|1610815091|shopping_pos|6.67|Carter, Williams and Clark|130.129.142.130|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|e035ddb29a13b2258d92c12d731ead2f|2021-01-29|16:43:35|1611938615|health_fitness|102.27|Liu Group|147.213.94.184|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|81b70631033ff66eb2136500b8273b3d|2021-01-11|17:03:42|1610384622|personal_care|149.59|Ray, Murray and Young|73.239.111.213|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|6178d20099d7e0a6f1fd4d9bcf66404a|2021-01-03|21:14:04|1609708444|shopping_net|139.76|Durham, Cole and Carroll|150.187.242.216|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|d5356f5c10c7ecc237b86323e2f64640|2021-01-25|21:49:28|1611611368|misc_pos|19.72|Morris, Robles and Love|92.234.242.23|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|244a3431988e9cfa298f491c24f2292e|2021-01-17|20:55:00|1610916900|shopping_pos|4.62|White-Mclean|181.138.217.224|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|47cf2d5ce2352a30cfc97d4f2dcf9dd0|2021-01-23|13:29:07|1611408547|shopping_net|7.25|Lewis-Moore|162.199.102.47|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|777ab689c240eaabec823683ac8ffe69|2021-01-15|16:29:06|1610728146|entertainment|80.60|Daniels-White|129.206.91.59|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|fd99908c61a92a2eb25218cbdf5f7410|2021-01-10|09:16:45|1610270205|grocery_pos|117.02|Torres-Moon|3.165.152.166|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|2644fa435be1b9d3470265c84b5fe7a2|2021-01-09|12:01:28|1610193688|shopping_net|65.16|Leblanc Group|3.169.207.202|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|9e0d01e27b845fb272b31e82b6b5ab2c|2021-01-01|03:42:19|1609472539|gas_transport|62.26|Curtis and Sons|65.49.187.80|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|4bec731fc204c7a062ca5eed67b7abf1|2021-01-24|17:02:45|1611507765|home|18.61|Newman Group|147.236.252.92|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|1b0c49decacbd5a7c01a1c5f03e65acf|2021-01-10|12:58:51|1610283531|home|10.15|Woodward-Martinez|164.128.57.47|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|022b7a2b785e1ca7520a552d72559d9b|2021-01-08|12:55:46|1610110546|health_fitness|94.13|Mcdaniel, Benitez and Garrett|35.39.188.34|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|4cd6a46583f9db79dc91cf6867e90587|2021-01-04|18:42:25|1609785745|personal_care|17.09|Ray, Murray and Young|169.238.86.24|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|de6fdcf84a38e2773907ff262030b9f3|2021-01-01|15:10:05|1609513805|personal_care|79.47|Clark Group|184.111.202.115|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|c12137e0df2f1c97994005b407e1d6d0|2021-01-27|22:38:31|1611787111|food_dining|73.17|Reid and Sons|197.197.115.174|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|6ffa410acd29a16d827cc929d44ec048|2021-01-18|16:38:35|1610987915|personal_care|73.12|Pierce-Cannon|41.84.187.26|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|491290f14ca5b617eff3450fcd835d31|2021-01-30|20:14:44|1612037684|travel|8.70|Smith PLC|15.62.36.70|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|098ea6acd88146e3f512ba9ebaa1c67b|2021-01-27|19:50:39|1611777039|home|19.94|Hampton-Rollins|133.24.104.223|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|24095bb51724b290da7fa6f418be022c|2021-01-10|18:56:13|1610304973|misc_pos|16.09|Shea-Barron|37.119.8.189|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|4f4b9e349716bbbeb7778fd0a6be01ad|2021-01-24|18:56:46|1611514606|shopping_pos|5.83|Lewis-Moore|217.34.21.138|online
