ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
647-66-4497|4979481248514730|Amanda|Brown|F|3071 Barnes Alley|Sodus Point|NY|14555|43.2546|-76.9835|974|Restaurant manager, fast food|1950-02-27|709462196403|adults_50up_female_rural.json
156-89-3580|6011823734714909|Jessica|Smith|F|572 Jennifer Manor|Crested Butte|CO|81224|38.8691|-106.9619|4398|Publishing rights manager|1967-07-30|687958452057|adults_50up_female_urban.json
777-29-0872|213115913848502|Amy|Bishop|F|890 James Orchard Suite 993|Los Angeles|CA|90026|34.0766|-118.2646|2383912|Technical sales engineer|1972-07-30|884240387242|adults_2550_female_urban.json
729-82-5843|3545872297023291|Jennifer|Shelton|F|1609 Jason Flat Apt. 341|Munfordville|KY|42765|37.2898|-85.9201|5840|Sports development officer|1955-05-20|205125746682|adults_50up_female_urban.json
833-24-0036|4096169866512924|Holly|Decker|F|959 Michael Lake|Elberon|IA|52225|42.0088|-92.3314|447|Commissioning editor|1961-10-10|950482239421|adults_50up_female_rural.json
580-65-6094|6513584012942470|Nancy|Roberts|F|7404 Kimberly Islands Apt. 643|Columbus|OH|43204|39.9523|-83.078|783285|Journalist, magazine|2000-04-17|939970169861|young_adults_female_urban.json
877-76-2431|36171428137092|Cory|Swanson|M|39338 Campbell Centers Apt. 811|Greenwood|NE|68366|40.9706|-96.4258|1047|Technical sales engineer|1974-11-10|402539845901|adults_2550_male_rural.json
264-82-8466|501851214178|Jose|Nicholson|M|68236 Lambert Manors|Newport Beach|CA|92660|33.6295|-117.8684|62946|Education officer, museum|1993-09-02|650387977076|adults_2550_male_urban.json
278-73-8708|5435671024738777|Heather|Byrd|F|082 Chris Station|Rosenhayn|NJ|08352|39.4695|-75.1462|448|Engineer, broadcasting (operations)|1967-04-28|656020174537|adults_50up_female_rural.json
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json
668-39-2856|4645296006362|Lorraine|Davis|F|375 Alvarez Crescent|Pontiac|IL|61764|40.8764|-88.6328|14460|Publishing copy|1982-12-06|337750317412|adults_2550_female_urban.json
132-63-9599|6011080913121915|Marissa|Smith|F|10549 House Stravenue|Midwest|WY|82643|43.4108|-106.2668|469|Sales professional, IT|1969-08-24|722584453020|adults_50up_female_rural.json
452-94-9615|3518133506208329|Matthew|Ruiz|M|87236 Ramos Plaza Apt. 329|San Diego|CA|92113|32.697|-117.1153|1241364|Music therapist|1952-01-25|538895124917|adults_50up_male_urban.json
001-72-1462|4777813339586|Tracy|Smith|F|6827 Joseph Garden|Meno|OK|73760|36.3815|-98.1635|470|Ship broker|2005-03-25|699668125818|young_adults_female_rural.json
683-67-7092|4690532065517|Emily|Friedman|F|60230 Smith Mission Apt. 503|California Hot Springs|CA|93207|35.8818|-118.6561|263|Pharmacist, community|1957-05-13|917975462998|adults_50up_female_rural.json
783-16-5634|4774956907071|Renee|Graham|F|59645 Miller Extension Suite 130|Wallingford|PA|19086|39.8871|-75.3721|11420|Youth worker|1993-09-26|724235628997|adults_2550_female_urban.json
207-06-1902|4949586971829092|Shawn|Young|M|7628 Ana River|Miami|TX|79059|35.7193|-100.7027|837|Research scientist (physical sciences)|1976-01-29|916905857181|adults_2550_male_rural.json
513-50-9185|4454484938381|Mark|Johnson|M|96637 Frances Glen Suite 128|Stokes|NC|27884|35.7104|-77.2722|1282|Teacher, early years/pre|1960-08-24|461615966685|adults_50up_male_rural.json
656-87-0916|3553519611079090|Jessica|Garcia|F|824 Ricky Court Apt. 166|Huron|IN|47437|38.7222|-86.671|123|Engineer, aeronautical|1935-11-19|26990816968|adults_50up_female_rural.json
600-21-9512|2456819292777925|Andrew|Young|M|6610 Sandra Tunnel|Seaside Park|NJ|08752|39.9222|-74.0795|2074|Exhibitions officer, museum/gallery|1982-07-21|459842889956|adults_2550_male_rural.json
715-50-2116|4212578769519472|Tabitha|Ellis|F|37179 Christina Lakes|Fair Haven|VT|05743|43.6234|-73.2701|4330|Hydrogeologist|1980-01-08|268308151877|adults_2550_female_urban.json
173-46-8592|3588576607125146|Sally|Sanchez|F|702 Donna Points|Edgerton|WY|82635|43.4074|-106.2638|207|Physiological scientist|1998-05-05|394495759023|young_adults_female_rural.json
794-42-6314|3577295774750890|Jason|Walsh|M|57286 Kevin Mews|Dover|MN|55929|44.0015|-92.1415|1209|Claims inspector/assessor|1988-04-25|445755474326|adults_2550_male_rural.json
717-31-7907|4183064062457569252|Brian|Jenkins|M|2094 Weaver Causeway Suite 676|Clinton|LA|70722|30.8249|-90.9331|5713|Glass blower/designer|1929-09-04|131340471060|adults_50up_male_urban.json
748-64-1894|4530427204494906691|Mark|Wells|M|593 Koch Roads|Fultonville|NY|12072|42.9036|-74.3598|2890|Therapist, horticultural|1995-07-29|574612776685|adults_2550_male_urban.json
235-75-6799|38895768033846|Brian|Jones|M|6131 Jeremy Junctions|Watson|MN|56295|45.0412|-95.834|310|Theatre director|1970-08-20|457435146833|adults_50up_male_rural.json
384-91-3754|503853001025|Beverly|Williams|F|462 Bryant Mall Apt. 119|Redwater|TX|75573|33.358|-94.2571|181|Surveyor, insurance|1990-08-26|855115135598|adults_2550_female_rural.json
347-73-9927|6544584995477711|Tommy|David|M|59024 Raymond Plains|Waterbury|VT|05676|44.3451|-72.7798|4984|Designer, graphic|1999-06-26|871233292771|young_adults_male_urban.json
412-41-7827|4064881118108404|Maria|Turner|F|7556 Amy Ways|Palermo|CA|95968|39.4361|-121.5454|1412|Teacher, music|1938-06-08|200441593087|adults_50up_female_rural.json
670-92-5919|3507611882790195|Jennifer|Matthews|F|8561 Meyer Neck Suite 694|Hatfield|MO|64458|40.5219|-94.1691|145|Designer, multimedia|1950-01-04|222506789984|adults_50up_female_rural.json
438-21-9881|6011222048920544|Thomas|Owen|M|0622 Gonzalez Via Suite 937|Heber City|UT|84032|40.4947|-111.4051|17249|Exhibition designer|2002-04-04|212730160038|young_adults_male_urban.json
084-76-7587|342642373776398|David|Hernandez|M|293 Kirk Fort|Reform|AL|35481|33.3959|-88.0203|3668|Cytogeneticist|1933-07-18|568801468984|adults_50up_male_urban.json
606-60-1842|213101563032985|Matthew|Olson|M|49450 Burton Land|Alamo|NV|89001|37.3259|-115.308|1224|Medical sales representative|1991-08-16|91355675520|adults_2550_male_rural.json
250-38-1452|30136957344613|Nancy|Jennings|F|303 Cunningham Tunnel Suite 578|Bridgeport|CT|06606|41.2091|-73.2086|144195|Colour technologist|1965-01-26|802310592834|adults_50up_female_urban.json
540-67-1509|30120886021260|James|Waters|M|06672 Rodriguez Gateway Suite 984|North Lima|OH|44452|40.9649|-80.6549|3167|Systems analyst|1930-01-15|529820794146|adults_50up_male_urban.json
144-75-3532|3532490993330038|Patrick|Wilson|M|3035 Cross Greens|Jamieson|OR|97909|44.2161|-117.4813|51|Advertising account planner|1982-12-18|699955105085|adults_2550_male_rural.json
473-30-5819|3560239569679020|Mark|Ramsey|M|087 Smith Divide|Pompano Beach|FL|33071|26.2435|-80.2601|425636|Environmental manager|1969-09-26|600003278485|adults_50up_male_urban.json
773-87-3320|4878649325961824|Lauren|Baker|F|02315 Robert Plains|Bard|CA|92222|32.7822|-114.5619|45|Forensic psychologist|1981-01-11|469998441571|adults_2550_female_rural.json
118-12-9966|4979089477653160981|Regina|Romero|F|978 Rios Divide|Cleburne|TX|76033|32.3509|-97.4103|42578|Multimedia programmer|2001-09-25|502567604689|young_adults_female_urban.json
630-43-2148|4759608858897661017|Douglas|Farmer|M|02467 Gonzalez Forge Suite 978|Baton Rouge|LA|70809|30.4089|-91.0842|378909|Scientist, forensic|1989-11-15|930691958107|adults_2550_male_urban.json
769-26-1590|341346866221588|Sydney|Richmond|F|859 Donna Loop|Berkeley|CA|94707|37.8927|-122.2761|118592|Psychologist, educational|1970-01-31|782510788708|adults_50up_female_urban.json
232-42-3178|180054942612317|Nicole|Hernandez|F|0769 John Points Apt. 491|Vinalhaven|ME|04863|44.0397|-68.8368|1165|Chiropodist|1979-03-19|268514844966|adults_2550_female_rural.json
316-83-6224|4532878338108430357|Adam|Morris|M|9351 Bradley Dam Apt. 148|Latham|MO|65050|38.5466|-92.6817|755|Astronomer|1991-09-01|644787199786|adults_2550_male_rural.json
203-23-6847|30211907695925|Shawn|Watson|M|4142 Kevin Shoals|Lyndon Station|WI|53944|43.6899|-89.8915|2224|International aid/development worker|1975-02-16|499975010057|adults_2550_male_rural.json
172-03-1695|4122997251265197105|Brendan|Choi|M|43524 Jennifer Stravenue|Orchard Park|NY|14127|42.7639|-78.7518|29961|Research officer, government|1973-03-31|925653849211|adults_2550_male_urban.json
154-72-0072|4769728193901|Kyle|Moore|M|32287 Donald Spring Suite 608|Buffalo|NY|14217|42.9719|-78.8769|564824|Learning mentor|1996-09-22|912293302206|adults_2550_male_urban.json
347-65-8404|630454741939|Robert|Patterson|M|41024 White Greens|Glencoe|IL|60022|42.1333|-87.7615|8153|Engineer, communications|1945-04-10|730458632239|adults_50up_male_urban.json
882-67-3885|4228510530841663|Gina|Cooper|F|1538 Rose Mews|Shuqualak|MS|39361|32.9769|-88.5594|1468|Civil engineer, contracting|1993-06-25|460877961787|adults_2550_female_rural.json
389-06-5162|4787786058809059|Gloria|Zuniga|F|1383 Lauren Trafficway Apt. 144|Wheeler|TX|79096|35.4319|-100.2568|2229|Mining engineer|1972-02-07|504831693|adults_50up_female_rural.json
164-61-0932|4651334558109|Richard|Park|M|6480 Brennan Roads|Southbury|CT|06488|41.4767|-73.2241|19904|Petroleum engineer|1988-12-24|609904782486|adults_2550_male_urban.json
438-24-5141|501837864179|Kimberly|Roy|F|3156 Evans Ridge|Bristol|VT|05443|44.146|-73.0717|6656|Museum/gallery curator|1966-04-24|720097725299|adults_50up_female_urban.json
623-28-9421|180008649792715|Carlos|Lewis|M|590 Clark Walk Apt. 808|Ernul|NC|28527|35.2547|-77.0502|1140|Engineer, technical sales|1981-05-16|814693948333|adults_2550_male_rural.json
679-87-1048|584302509818|Nicole|Garcia|F|55635 Steven Bypass Apt. 858|Bloomington|IN|47401|39.1401|-86.5083|126925|Animal technologist|1986-11-19|572833775872|adults_2550_female_urban.json
347-45-7137|5532117410486102|Nicholas|Drake|M|29469 Anthony Prairie|Stanford|MT|59479|47.1489|-110.1961|826|Accountant, chartered public finance|1995-04-19|598507595731|adults_2550_male_rural.json
501-49-6316|6568384451151699|Donna|Lee|F|90851 Brown Light|Tonto Basin|AZ|85553|33.7415|-110.8607|1501|Retail banker|1951-01-27|676075437189|adults_50up_female_rural.json
419-90-8615|379915706246859|Jane|Fitzpatrick|F|035 Morris Wells Apt. 717|Robbins|IL|60472|41.6423|-87.7089|5390|Designer, exhibition/display|1976-01-14|736390723023|adults_2550_female_urban.json
069-23-4210|3525499862838798|Carla|Wilson|F|0325 Christopher Spur|Old Forge|NY|13420|43.7435|-74.8935|1266|Community arts worker|1954-08-07|380222932971|adults_50up_female_rural.json
759-11-0641|4580056203653|Jasmine|Delgado|F|5542 Smith Crossing Suite 619|Mc Cool Junction|NE|68401|40.7442|-97.5937|717|Writer|1973-11-06|839415689367|adults_2550_female_rural.json
860-37-3100|341535617075943|Robin|Valdez|F|85137 Keith Dale|Los Angeles|CA|90018|34.029|-118.3152|2383912|Logistics and distribution manager|1974-07-16|660027541747|adults_2550_female_urban.json
298-01-9161|213165321405544|Gregory|Matthews|M|05506 Sarah Route Suite 331|Monhegan|ME|04852|43.7642|-69.3164|69|Television/film/video producer|1956-06-12|767264079469|adults_50up_male_rural.json
619-10-5686|676102058523|Xavier|Mccall|M|097 Banks Freeway Apt. 565|Brandon|IA|52210|42.3309|-92.0059|697|Surveyor, mining|1964-03-18|936925389126|adults_50up_male_rural.json
778-64-5733|4506577345889|Yolanda|Jones|F|2462 Martin Summit|Montrose|AR|71658|33.3075|-91.5228|728|Learning mentor|1999-06-24|349604639705|young_adults_female_rural.json
851-73-7872|180013877707492|Edward|Williams|M|41191 Michael Neck Suite 581|Shiloh|OH|44878|40.934|-82.5222|3147|Copy|1943-10-16|122585828681|adults_50up_male_urban.json
772-01-4348|213171936266750|Shawn|Davis|M|61990 Cantu Garden|Nunda|SD|57050|44.1525|-96.9942|191|Conservation officer, historic buildings|1971-09-25|70581224950|adults_50up_male_rural.json
446-61-9250|213106353672858|Ashley|Hansen|F|586 Horton Orchard Apt. 163|Willow Hill|IL|62480|38.9757|-88.0172|787|Media planner|1967-10-08|32528808113|adults_50up_female_rural.json
234-54-2101|4661149997814394|Zoe|Jenkins|F|1859 Roman Ferry Apt. 999|Turpin|OK|73950|36.8664|-100.8779|1736|Scientist, clinical (histocompatibility and immunogenetics)|1947-01-25|707349800919|adults_50up_female_rural.json
783-06-0923|4349037580252|William|Bailey|M|6309 David Meadow|Gibbon|MN|55335|44.5606|-94.5467|1629|Human resources officer|1999-09-24|242099307192|young_adults_male_rural.json
599-38-5876|347270644482110|Amanda|Martinez|F|918 Cain Route|Pittsburgh|PA|15210|40.4072|-79.9839|687276|Research scientist (medical)|1969-07-09|24633194766|adults_50up_female_urban.json
095-59-4752|4907161890373|Kimberly|Mckenzie|F|166 Corey Lodge|Tama|IA|52339|41.9616|-92.58|4504|Health physicist|1963-06-02|518679770934|adults_50up_female_urban.json
785-85-2130|2703506086482041|Stacey|Mendoza|F|4900 David Mews Suite 211|Campbellton|FL|32426|30.9563|-85.3766|942|Investment banker, corporate|1983-12-26|613142232104|adults_2550_female_rural.json
311-12-2287|060460357449|Alexis|Carr|F|974 Singh Court Suite 573|Scales Mound|IL|61075|42.4715|-90.258|958|Psychologist, occupational|1967-09-05|854351834169|adults_50up_female_rural.json
886-04-5072|583747560287|Barbara|Campbell|F|657 Soto Course Suite 348|Fox River Grove|IL|60021|42.1936|-88.2205|5545|Editor, commissioning|1961-12-28|32357470762|adults_50up_female_urban.json
433-29-7801|2295112905545110|Dorothy|Stokes|F|811 Danielle Station|Palm Coast|FL|32137|29.5565|-81.219|79437|Horticultural consultant|1992-04-05|628970495096|adults_2550_female_urban.json
333-43-9322|4972038620444410|Christine|Brown|F|45928 Krause Union Apt. 069|Piercy|CA|95587|39.9465|-123.7552|201|Sound technician, broadcasting/film/video|1944-05-14|776421774102|adults_50up_female_rural.json
006-28-4234|3587026571769009|Sharon|Miller|F|02753 Brian Parks|Collegeville|PA|19426|40.1913|-75.4373|38831|Public relations account executive|1963-08-30|382691841703|adults_50up_female_urban.json
508-19-8027|4109419980060242|Stephanie|Moore|F|20960 Gonzalez Walks|Cucumber|WV|24826|37.3752|-81.6539|150|Engineer, maintenance (IT)|1970-01-21|553284695470|adults_50up_female_rural.json
143-81-6460|584665062876|Elizabeth|Collins|F|4289 Jessica Lane|Appleton|MN|56208|45.2054|-95.9949|2066|Sports development officer|1958-08-13|432293523326|adults_50up_female_rural.json
557-45-6192|4514901665520326|Benjamin|Stokes|M|20425 Carrie Station|Brawley|CA|92227|32.9792|-115.5296|26234|Public relations officer|1946-07-13|989975026863|adults_50up_male_urban.json
495-49-2350|4630974486409|Sarah|Scott|F|76612 Ryan Plaza Suite 483|Mechanicsville|VA|23116|37.6691|-77.3294|63718|Furniture designer|1928-06-10|880590736370|adults_50up_female_urban.json
490-97-5951|36852852134925|Jeffrey|Evans|M|9549 Hernandez Isle|Osgood|OH|45351|40.3406|-84.4963|274|Chiropodist|1954-12-08|58022763473|adults_50up_male_rural.json
338-10-2193|2291106359593018|Bonnie|Miller|F|292 Wagner Alley Suite 582|Wooldridge|MO|65287|38.8983|-92.5667|422|Investment banker, operational|1986-05-07|737512490949|adults_2550_female_rural.json
035-48-7069|3564361692442054|Sean|Lozano|M|7303 Jenkins Mountains Suite 810|Couch|MO|65690|36.5853|-91.2724|298|Merchant navy officer|2002-01-14|681086958630|young_adults_male_rural.json
201-13-2200|675948673008|Ryan|Garner|M|967 West Fall|Anacortes|WA|98221|48.5004|-122.6309|20429|Marine scientist|1962-11-25|687877957331|adults_50up_male_urban.json
874-54-7234|30067378604006|Krista|Anderson|F|1693 Jennifer Islands Suite 622|Leonard|MO|63451|39.9076|-92.1947|244|Tax inspector|1983-09-27|540133595219|adults_2550_female_rural.json
193-33-6892|2634826383016837|Rebecca|Quinn|F|766 Lisa Isle Suite 678|Boyd|TX|76023|33.0594|-97.5868|5832|Engineer, energy|2002-06-03|690855947995|young_adults_female_urban.json
056-41-8406|30421543155560|Alexandria|Jones|F|00348 Blevins Forge|Greenfield|OK|73043|35.7333|-98.3841|125|Advertising copywriter|1968-07-29|408652452605|adults_50up_female_rural.json
621-68-7944|4014496727352|Alex|Gilbert|M|3939 Garrett Stravenue Apt. 657|Dunkirk|OH|45836|40.7824|-83.6339|1479|Scientist, forensic|1979-05-14|782477567593|adults_2550_male_rural.json
