ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long|recent_visited_states|payment_type
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json|e1d193a44f772897dff3dd7f71a69ea4|2021-01-25|01:18:33|1611537513|shopping_pos|842.48|1|Manning, Greer and Ford|33.322622|-110.448984|['OH', 'ID', 'MO', 'AK']|in_store
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json|3843cf64483e10785ab40662a1ebfb08|2021-01-25|23:08:48|1611616128|travel|9.58|1|Smith PLC|33.152706|-110.572156|['IA', 'MN', 'ND']|in_store
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json|21510a97df90f064427c103cac4c6a01|2021-01-25|22:08:31|1611612511|food_dining|108.93|1|House-Silva|33.281265|-110.427319|['NJ', 'SD', 'MO', 'MO']|in_store
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json|5201a6c3d5345ff006bd24f1d50bfddf|2021-01-25|13:13:43|1611580423|food_dining|144.98|1|Lewis and Sons|32.593199|-111.636798|['IA', 'IA', 'AK', 'CA']|in_store
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json|17df4f797603d782883c0b7f702a377a|2021-01-26|02:44:03|1611629043|shopping_net|1004.41|1|Lewis-Moore|32.594367|-111.247433|['MN', 'NV', 'VT', 'SC']|in_store
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json|55f0a17e6b5ed6ea8f32055ea31034c0|2021-01-26|01:52:41|1611625961|shopping_net|1128.04|1|Norris and Sons|32.411010|-111.046288|['MS']|in_store
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json|920ae64a5fca78cc3fbe17a8ad769a95|2021-01-25|01:16:20|1611537380|shopping_net|1018.89|1|Powell-Fitzgerald|32.809061|-112.263256|['GA']|in_store
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json|abc8c7a1c8d18e31573225962bd1e581|2021-01-26|02:18:57|1611627537|shopping_pos|753.40|1|Doyle, Butler and Clark|32.377644|-112.039426|['FL', 'MO', 'NY', 'OK']|in_store
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json|d234d88f591422bf1aded0cff6da02fe|2021-01-26|02:43:53|1611629033|misc_net|725.95|1|Wilson and Sons|32.641490|-111.596345|['AR', 'NC', 'WV', 'WY']|in_store
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json|6adb915582f5bbb997803c4f4be4999a|2021-01-26|00:37:27|1611621447|misc_pos|726.07|1|Taylor-Hubbard|31.596723|-110.892593|['WI', 'ND', 'ID']|in_store
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json|1b63aacfc41046845030c84f2a62f934|2021-01-25|00:01:07|1611532867|shopping_net|924.59|1|Leblanc Group|32.243167|-111.019544|['RI', 'IN', 'ND']|in_store
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json|a3e75ea199f05bbdbb3b084e166eaf43|2021-01-26|23:35:51|1611704151|kids_pets|19.03|1|Anderson, Brooks and Roberts|32.652019|-112.147263|['NV']|in_store
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json|95cb035115c3a13a2945197c105f54cf|2021-01-26|22:17:44|1611699464|food_dining|127.02|1|Smith-Davis|33.261639|-110.795304|['UT']|in_store
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json|b74a0d5e09e69fcd3bf194db06b3cf76|2021-01-25|00:23:57|1611534237|shopping_net|920.31|1|Durham, Cole and Carroll|33.428549|-111.695086|['CA']|in_store
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json|aa51da92dacfd291c377520be8c0246c|2021-01-26|23:52:24|1611705144|kids_pets|20.31|1|Sanchez Group|32.497440|-110.856905|['OK', 'SC', 'WV']|in_store
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json|6274ab48e06ed109f1cfafb0d69b26f9|2021-01-15|06:26:24|1610691984|grocery_pos|105.93|0|Livingston-Johnson|32.783163|-110.775150|['CO', 'NC']|in_store
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json|b6c85f36b281b9b2ad771748805ed121|2021-01-09|14:15:34|1610201734|kids_pets|44.72|0|Anderson, Brooks and Roberts|31.662578|-110.536627|['OK', 'NH', 'SD', 'GA']|in_store
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json|54b3f76b354765c2d4bdeacfa3185546|2021-01-09|04:41:52|1610167312|gas_transport|62.57|0|Cantu PLC|32.190774|-110.551116|['OR', 'VA', 'OR']|in_store
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json|c46219114fe6fbdcbd9ef0ee22f3b991|2021-01-23|06:02:51|1611381771|gas_transport|48.88|0|Mills, Martin and Barnes|32.899945|-110.567999|['VA', 'IN', 'ID', 'NM']|in_store
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json|fee825256f4f5f041efb6e3d304bab80|2021-01-02|12:03:39|1609589019|entertainment|143.96|0|Dalton, Bowman and Henderson|32.230293|-110.397006|['NJ', 'ID', 'WY']|in_store
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json|d3052c36b42ac2c1a90736c1e316fd28|2021-01-30|15:31:25|1612020685|health_fitness|8.19|0|Valenzuela-Collins|33.034894|-111.649770|['MA', 'AL', 'OK', 'CO']|in_store
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json|d34b5b9de0f63c38313b0ba94b7aed37|2021-01-06|15:04:52|1609945492|personal_care|210.59|0|French, Nelson and Brown|32.516095|-110.796228|['ND', 'ND']|in_store
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json|c5f961de4c3a0a1f990709287abe803a|2021-01-30|13:55:18|1612014918|personal_care|12.18|0|Dyer LLC|33.172945|-110.460918|['WI', 'DE', 'IN']|in_store
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json|410f6a99bc1c7e08928aca5427178e9d|2021-01-31|17:37:38|1612114658|kids_pets|40.19|0|Lewis-Marshall|31.850488|-110.426102|['NH', 'DE', 'CA', 'VA']|in_store
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json|3d164b06eada307fce57b4ca7a8e3591|2021-01-15|22:48:14|1610750894|shopping_pos|5.56|0|Holland PLC|32.995945|-111.820783|['AR', 'IA', 'HI']|in_store
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json|51051cef72d9180eaefa499a01f3f4b3|2021-01-23|09:16:30|1611393390|gas_transport|59.66|0|Mills, Gould and Gonzalez|32.745506|-112.239933|['ND']|in_store
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json|f52b52fe0753fc08fae5492b0023a3c4|2021-01-02|04:50:21|1609563021|gas_transport|39.24|0|Gonzalez Group|32.434729|-110.741603|['KS', 'SD']|in_store
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json|3de4f5d263aa586735ad96ce4331b5b2|2021-01-13|09:05:46|1610528746|gas_transport|64.37|0|Mills, Martin and Barnes|31.960183|-111.269310|['IL', 'OR', 'MO']|in_store
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json|e338dd7916e7dd15141c441f5a3b368c|2021-01-12|14:40:30|1610462430|home|27.87|0|Hampton-Rollins|33.576916|-110.945365|['NV', 'MI', 'TX', 'FL']|in_store
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json|58825844c6653fbbf779bb0978406982|2021-01-24|22:05:33|1611525933|entertainment|6.51|0|Long, Wilkerson and Alexander|32.399924|-112.176344|['LA']|in_store
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json|e571398718a9e620ed0b95169afe2689|2021-01-03|18:56:42|1609700202|food_dining|36.90|0|Reid and Sons|31.722849|-111.703721|['TN', 'OK']|in_store
250-97-0036|2644625339748214|Angela|Williams|F|0018 Williams Branch|Red Rock|AZ|85145|32.58|-111.341|2106|Insurance broker|1989-05-14|934384811883|adults_2550_female_rural.json|094b91f2f76f18a92874b1dee59e7371|2021-01-17|08:08:36|1610870916|gas_transport|67.45|0|Gonzalez Group|32.156935|-111.027953|['NY', 'DE', 'MA', 'NY']|in_store
