ssn|cc_num|first|last|gender|job|dob|acct_num|trans_num|trans_date|trans_time|unix_time|category|amt|merchant|ip_address|payment_type
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|421c11582c6b5a491343e60f358c3884|2021-01-10|19:48:55|1610308135|entertainment|14.03|Gibson-Moreno|83.196.237.227|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|78f3456fd28b8a83bf0f6d2d0367c31e|2021-01-04|10:42:15|1609756935|gas_transport|60.79|Olson Inc|174.55.68.86|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|231203f4d6205f84eca8f8ee1b7595d6|2021-01-13|14:00:55|1610546455|shopping_pos|6.21|Watts, Hunt and Phillips|63.234.29.83|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|105f6a2a1d4611b3eea4b2a7bf171a51|2021-01-09|09:57:42|1610186262|gas_transport|36.08|Mills, Gould and Gonzalez|3.53.215.232|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|05fa8765fc15f6b2e8fe9dc531656a21|2021-01-21|19:45:51|1611258351|food_dining|5.07|Anderson Inc|155.112.241.225|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|0450ec0e243989913bbcf82568024491|2021-01-29|21:14:56|1611954896|entertainment|87.76|Shea LLC|36.11.238.158|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|b2e9866d1ab471dcae0a360a71466a6c|2021-01-15|13:47:43|1610718463|shopping_net|11.14|Norris and Sons|39.107.48.57|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|3bd42c19b8828e687e005ed90a7dab0d|2021-01-16|18:21:29|1610821289|kids_pets|36.00|Chase, Cabrera and Bennett|1.35.35.27|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|7b285cc04d33e8779cb3480a3ea9fc93|2021-01-11|09:14:34|1610356474|gas_transport|44.34|Nelson, Rivera and Moreno|94.83.241.231|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|2ac4acd53447b3d8dc9688ea55bc5699|2021-01-12|21:35:14|1610487314|personal_care|18.19|Drake, Grimes and Thomas|166.157.218.168|online
