ssn|embedding
250-97-0036|[[0.95232565378195, 0.8678426933364723, 0.5384559449821077, 0.8952217482205258, 0.4706041104308736], [0.7680895758253349, 0.8507940780296145, 0.2505258505731516, 0.18196977196053532, 0.2894788280589323], [0.8985503008685849, 0.2947659389332581, 0.6004950775441569, 0.8265394052327435, 0.3332190374158166], [0.42912176862766915, 0.4158186805258455, 0.9746528887884681, 0.7952524318700745, 0.0284451187656396], [0.9537400710579809, 0.5378288442468565, 0.2984361643903062, 0.8437364761130859, 0.014429502085056]]
384-91-3754|[[0.6965793184272345, 0.39671709525903864, 0.6297062867145723, 0.4060216566128386, 0.025830142201862416], [0.36822552209135495, 0.40483838080548196, 0.4597577137786838, 0.2270959502752945, 0.7437018479662453], [0.46645060364785773, 0.9652001420156395, 0.19168526253007556, 0.8637399906905298, 0.8252019655597668], [0.8409868339428738, 0.5896082981184645, 0.8375768996424802, 0.9459832615487639, 0.3739292747458781], [0.7182454047439726, 0.055979766935631003, 0.43896677776467585, 0.711421404333698, 0.5580625078070887]]
773-87-3320|[[0.9744558789645292, 0.8038463294510969, 0.16864318992093041, 0.20915331488909283, 0.06690063033022764], [0.8891369356664103, 0.003043845327447059, 0.8125593233614581, 0.5233639190105931, 0.2852735940524479], [0.8301557553790826, 0.22680036543446402, 0.8889944116889206, 0.09193085762448239, 0.9792042026923989], [0.9317812146848184, 0.5846342484104372, 0.7622292947796646, 0.8739155263814757, 0.33802738781600394], [0.8282560077544971, 0.4265760367967514, 0.5823747496666192, 0.8589963201851732, 0.6740512951940105]]
232-42-3178|[[0.5994513950795042, 0.9824163485313978, 0.028703850364946826, 0.20037421006442535, 0.6682244470564984], [0.7624838668726571, 0.4434321579435023, 0.3328382323240293, 0.3463388356538001, 0.21875602720898368], [0.3785949006899282, 0.9644430061953774, 0.35430543218630306, 0.5073494346218775, 0.009980329846807412], [0.5427805307533248, 0.4727549945266317, 0.34038819881473226, 0.012185812593304313, 0.7407956035617013], [0.9755454487482093, 0.7024074327251962, 0.39195029105787615, 0.9339982019324803, 0.38438259773073336]]
882-67-3885|[[0.8315238986888941, 0.4942098413007865, 0.7551913032026978, 0.8656527687878304, 0.31185617954496847], [0.45425554967029824, 0.0730656444628528, 0.5712276472858502, 0.7626674094664384, 0.864095419845812], [0.6827964508523189, 0.776968250266664, 0.28957124731224604, 0.3063472577226414, 0.5739286455385405], [0.7332356600800278, 0.7600846981626905, 0.041349805727430855, 0.584239764945983, 0.21316278729623472], [0.107966433553907, 0.5467640838691551, 0.6891685667432581, 0.11772906294019692, 0.5159847918018063]]
759-11-0641|[[0.32056389046882505, 0.8476842326170335, 0.0768506853948604, 0.1601285419578179, 0.8946528259785459], [0.8497329742392997, 0.3200659613529324, 0.47000246860256534, 0.5888114612439814, 0.2231604361218411], [0.5618616033438665, 0.8266044607061367, 0.0004698848782178633, 0.7892427513936301, 0.47351845411710525], [0.2697402257387126, 0.48667326888855245, 0.3524147823939354, 0.916289890171516, 0.24064163011722595], [0.4515592128098247, 0.6957994576916072, 0.14005107695025276, 0.09222148949585318, 0.10301555576289068]]
785-85-2130|[[0.9834559299951665, 0.4495358618442634, 0.9422601551768025, 0.6936333983230635, 0.9003115036043365], [0.23665222031356736, 0.5078829364639804, 0.26207374981577924, 0.563934262635469, 0.880215657321814], [0.32698757525327726, 0.3143251697471211, 0.6540583708628046, 0.1728771089897586, 0.4167576414553855], [0.5870646606413347, 0.14241477502012412, 0.48631942273411455, 0.14611811488123772, 0.23042383375345032], [0.3567563846957641, 0.7145558386025189, 0.10966610833402335, 0.8781240798939208, 0.3982427597347781]]
338-10-2193|[[0.24655262610468032, 0.5877835718360335, 0.5511892935053279, 0.46346868496375615, 0.7837934803654484], [0.22832120360032737, 0.45854052133454604, 0.2835367927364614, 0.6078342796207042, 0.5210707550763936], [0.9922236744499616, 0.35039795015958497, 0.10960987536602185, 0.3976855573259964, 0.2139024957910558], [0.6259792604432018, 0.9690742682892921, 0.4900520136852923, 0.7909681283150249, 0.6018139349041722], [0.34330559180105813, 0.15775891279308418, 0.3266017006329722, 0.2939564648885449, 0.916607126848857]]
874-54-7234|[[0.12072646602289538, 0.6003141501885858, 0.9321576564608913, 0.8253502896309505, 0.04980425897389762], [0.7133968704295354, 0.7256353724424768, 0.13341574010083923, 0.7459342220803139, 0.9146214727467172], [0.06959321873600532, 0.6881525903859004, 0.5989779952001042, 0.8158165781853607, 0.5162409020204485], [0.3691730763905404, 0.9364011736697283, 0.867489033226539, 0.7097750802109359, 0.26543940175232306], [0.2815570950879611, 0.2674242072029447, 0.871854019173882, 0.6176874309142859, 0.766061226873948]]
593-07-9099|[[0.9909462101603465, 0.05889304198509715, 0.3988577698609326, 0.8792524748322882, 0.2072441896435896], [0.03322596398033628, 0.40708818117459844, 0.2262897199274243, 0.71320676911213, 0.09553374512575585], [0.05317306430722546, 0.8667051262458685, 0.7762533041896235, 0.7389650567752786, 0.26232105582153187], [0.2827778586252798, 0.28180414976213886, 0.33138566010807113, 0.576470719962571, 0.45270224097532497], [0.30114888796415484, 0.6629127865611069, 0.5409566157711683, 0.686605747851929, 0.3262595041694093]]
206-38-3122|[[0.11822762242964369, 0.6868432383229225, 0.9499375318838486, 0.04022821101400076, 0.5114355678449993], [0.15687526644825123, 0.21730489152446408, 0.14472176287425975, 0.4801004655943327, 0.4995024761842306], [0.2980842881314776, 0.7948935502934275, 0.7235597708828042, 0.6513137529407234, 0.6146061261541368], [0.1129318356508977, 0.773261541241816, 0.7381492172793909, 0.22689325045395492, 0.08677029626488819], [0.492772753741441, 0.6508313773682588, 0.004327174919327548, 0.8181933260292568, 0.848332983172383]]
