ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
729-82-5843|3545872297023291|Jennifer|Shelton|F|1609 Jason Flat Apt. 341|Maxton|NC|28364|34.7334|-79.3097|14809|Sports development officer|1972-05-20|205125746682|adults_2550_female_urban.json|4712d58ffdbb92c08d46d695c3d5d6e4|2021-01-09|00:39:21|1610152761|shopping_net|1153.96|1|May, Brown and Mccoy|34.952970|-79.357996
729-82-5843|3545872297023291|Jennifer|Shelton|F|1609 Jason Flat Apt. 341|Maxton|NC|28364|34.7334|-79.3097|14809|Sports development officer|1972-05-20|205125746682|adults_2550_female_urban.json|231cbaf9710ec676d3c1865004ca11c7|2021-01-08|01:57:17|1610071037|misc_pos|6.80|1|Price Inc|35.146587|-80.021402
729-82-5843|3545872297023291|Jennifer|Shelton|F|1609 Jason Flat Apt. 341|Maxton|NC|28364|34.7334|-79.3097|14809|Sports development officer|1972-05-20|205125746682|adults_2550_female_urban.json|414d4656baee26fcd2f81a3c5e75a5ed|2021-01-08|22:31:02|1610145062|kids_pets|15.89|1|Moore Ltd|35.068568|-79.649129
729-82-5843|3545872297023291|Jennifer|Shelton|F|1609 Jason Flat Apt. 341|Maxton|NC|28364|34.7334|-79.3097|14809|Sports development officer|1972-05-20|205125746682|adults_2550_female_urban.json|541caeb9fb671a1655f067b9c6469eee|2021-01-24|17:37:33|1611509853|shopping_pos|28.52|0|Banks and Sons|33.742559|-79.752312
729-82-5843|3545872297023291|Jennifer|Shelton|F|1609 Jason Flat Apt. 341|Maxton|NC|28364|34.7334|-79.3097|14809|Sports development officer|1972-05-20|205125746682|adults_2550_female_urban.json|6221396073eb813fad6b580973545845|2021-01-20|21:37:56|1611178676|kids_pets|82.83|0|Gill LLC|35.106354|-78.785657
729-82-5843|3545872297023291|Jennifer|Shelton|F|1609 Jason Flat Apt. 341|Maxton|NC|28364|34.7334|-79.3097|14809|Sports development officer|1972-05-20|205125746682|adults_2550_female_urban.json|7db330ffd3a393e5ddefdeb4372f5044|2021-01-03|20:35:29|1609706129|health_fitness|25.99|0|Guzman PLC|35.527151|-79.412481
729-82-5843|3545872297023291|Jennifer|Shelton|F|1609 Jason Flat Apt. 341|Maxton|NC|28364|34.7334|-79.3097|14809|Sports development officer|1972-05-20|205125746682|adults_2550_female_urban.json|39c6e02e026d5c54618960b63909d0b4|2021-01-17|13:59:05|1610891945|personal_care|47.23|0|Maddox PLC|34.349076|-79.480776
729-82-5843|3545872297023291|Jennifer|Shelton|F|1609 Jason Flat Apt. 341|Maxton|NC|28364|34.7334|-79.3097|14809|Sports development officer|1972-05-20|205125746682|adults_2550_female_urban.json|5fe0917a7da10476cb228755fefdffef|2021-01-12|21:01:45|1610485305|shopping_pos|2.69|0|Davies-Mitchell|35.676144|-80.145871
729-82-5843|3545872297023291|Jennifer|Shelton|F|1609 Jason Flat Apt. 341|Maxton|NC|28364|34.7334|-79.3097|14809|Sports development officer|1972-05-20|205125746682|adults_2550_female_urban.json|40300872d2b7bf8370a0fd5b5e1dab56|2021-01-14|13:12:17|1610629937|shopping_net|3.81|0|Choi PLC|34.609554|-79.707940
729-82-5843|3545872297023291|Jennifer|Shelton|F|1609 Jason Flat Apt. 341|Maxton|NC|28364|34.7334|-79.3097|14809|Sports development officer|1972-05-20|205125746682|adults_2550_female_urban.json|fe73bb97adaa4156bb1d477e0d65ebb1|2021-01-10|10:01:40|1610272900|grocery_net|49.73|0|Zhang-Bell|35.621541|-78.618184
729-82-5843|3545872297023291|Jennifer|Shelton|F|1609 Jason Flat Apt. 341|Maxton|NC|28364|34.7334|-79.3097|14809|Sports development officer|1972-05-20|205125746682|adults_2550_female_urban.json|51ce5b81c864949b70543fe8d4f7ea1c|2021-01-27|18:47:37|1611773257|shopping_net|123.55|0|Chapman-Cole|35.091664|-79.644691
729-82-5843|3545872297023291|Jennifer|Shelton|F|1609 Jason Flat Apt. 341|Maxton|NC|28364|34.7334|-79.3097|14809|Sports development officer|1972-05-20|205125746682|adults_2550_female_urban.json|6b256c06c5de0b2cca8c159cab921ab5|2021-01-15|19:02:04|1610737324|food_dining|24.13|0|Stanton-Fernandez|35.613043|-79.614142
