ssn|embedding
250-97-0036|[[0.7864550195214366, 0.021128073652021406, 0.8330583124806987, 0.04881492693706024, 0.2909553414831476], [0.6577126881089455, 0.5533095894841024, 0.21416243249694566, 0.3011939165176434, 0.34369829401891205], [0.37158885449177914, 0.9530082741159228, 0.6865768942895705, 0.39129058598656363, 0.5094042424645996], [0.5649267842832904, 0.8340576391630461, 0.4113770822845798, 0.6002712787384296, 0.6505920209023476], [0.7779420087450873, 0.7306738938197563, 0.07289223224846297, 0.8074107557264136, 0.6152872971087755]]
384-91-3754|[[0.6558249600180713, 0.9069199015448075, 0.5065765758233868, 0.2792271364001402, 0.15638814578268256], [0.5068959510959622, 0.34664823592232563, 0.9034648794639387, 0.809948832570945, 0.6785430666054274], [0.5236733521247077, 0.6131084673360493, 0.5608354488687232, 0.9552476757014974, 0.9981208147422971], [0.6229731049107388, 0.040630969887719526, 0.9099680943821362, 0.3773090694033714, 0.9842172774640789], [0.5219351360691372, 0.7665191925703301, 0.7817772465374948, 0.6541960689064303, 0.7996763884656833]]
773-87-3320|[[0.181735873988341, 0.021041526128982913, 0.6984469697128601, 0.13601268428915192, 0.586759785982747], [0.8948302791863034, 0.7234063573220266, 0.4837155485406466, 0.26009232179438435, 0.7513465167383724], [0.6192276239463543, 0.8236958105353023, 0.5058661423070249, 0.8292726170370036, 0.24682438564988107], [0.7855187265847973, 0.809314903602064, 0.5658393386210496, 0.6071382634268992, 0.7754526617658779], [0.3623168779388647, 0.5803354197067612, 0.4472240930795879, 0.32136835315744083, 0.0012355257839030687]]
232-42-3178|[[0.9038853776284294, 0.05671416276237462, 0.02714289185586305, 0.4515976443907932, 0.5000690181366491], [0.6572681351063228, 0.6981105273961177, 0.5105796380191303, 0.47299746672702736, 0.3120580534813532], [0.6375189363456208, 0.36568268719239005, 0.14141360994129393, 0.33252869344522795, 0.288969860267003], [0.4660067902274522, 0.4790715678842816, 0.6329903416570719, 0.20335785290147979, 0.8202336504916887], [0.8475680284351653, 0.9173909730648351, 0.41891261465780005, 0.6263558611763208, 0.1130351118376407]]
882-67-3885|[[0.8325923152422735, 0.4119684079046648, 0.5812997612832277, 0.08545118465244683, 0.0709272184528994], [0.7507559638330524, 0.9443750655533588, 0.7188063476585178, 0.957665528120579, 0.6379438925104117], [0.5373206828219798, 0.10611630801955718, 0.19962597547560457, 0.7950541881399115, 0.3846375805800739], [0.2074396289294127, 0.5919463381882077, 0.6114825538524623, 0.8660129416517305, 0.9700472566642289], [0.5895563444178745, 0.825246665234478, 0.1160632164690204, 0.07050094468903023, 0.47925502141856235]]
759-11-0641|[[0.7028460649378157, 0.667313296165184, 0.6283121297493306, 0.5409382885429673, 0.5910955174050679], [0.19122886184853471, 0.021886546527289608, 0.999021806465097, 0.5455825921675997, 0.6814616918835019], [0.6656400871880519, 0.26722368743119096, 0.4064955641937702, 0.11183850996147382, 0.08991134016915647], [0.4980034769768563, 0.15411145202514287, 0.034856843505519874, 0.051354866330608595, 0.26210203807381527], [0.6107485377939599, 0.23935443055097538, 0.4533910815747553, 0.43749269404849167, 0.014872999735242365]]
785-85-2130|[[0.6855303634991918, 0.3622303202365621, 0.4085726694172608, 0.11479215118024733, 0.5784755658176296], [0.5445009378448664, 0.5331233678020151, 0.42673068653354307, 0.9904439146649656, 0.9318696222680852], [0.24053651872419435, 0.9121423576215293, 0.7679598806525666, 0.04160727497223371, 0.6354385316945174], [0.3455485906701581, 0.11898473860679071, 0.6646179479262457, 0.2950799187137172, 0.06941004108726234], [0.8322832594883102, 0.5941938622814636, 0.7171215621066895, 0.30807542305487445, 0.7258811118933581]]
338-10-2193|[[0.8616983794286652, 0.0846594088399042, 0.5291984500913275, 0.6126792358120736, 0.2698071026954113], [0.1935773157602444, 0.12105440544529744, 0.3879350145186191, 0.731179935658222, 0.774517132748618], [0.26791789920904596, 0.9034261209417419, 0.464429220895914, 0.26441880594030687, 0.838613396707426], [0.29927668038987143, 0.16204522651927034, 0.9563095464014759, 0.7910271038928239, 0.6994502232214225], [0.491370671523337, 0.3520282530219381, 0.7417050676746878, 0.008055960928358363, 0.6177671951312226]]
874-54-7234|[[0.60460244751976, 0.8433322176187097, 0.5333784029889843, 0.6425930473239126, 0.6077370212927854], [0.18713948191954222, 0.5144894614011069, 0.9812304397977343, 0.9515755311245817, 0.5782152419386081], [0.101385485054727, 0.25740281507369556, 0.30923450119248475, 0.21170074623336543, 0.9547289924163231], [0.9947839470440895, 0.9552778424608748, 0.21636059777316963, 0.4216966449207731, 0.4274887471718066], [0.36377309558000503, 0.9344430357974001, 0.5672699526770211, 0.23720400215633797, 0.2434249032657254]]
593-07-9099|[[0.16466561563534632, 0.6433293047659204, 0.7152729356462751, 0.963261516957704, 0.03205696834015059], [0.6734213205645649, 0.5748000209564633, 0.966720758543848, 0.8379035354865574, 0.7787681144565934], [0.30535187147940457, 0.03293410159888388, 0.13531615320963364, 0.8333729545561683, 0.42123920965586126], [0.5432697810834831, 0.45135261044816266, 0.23916962062071223, 0.865554708733881, 0.4350632384798181], [0.48195726280905116, 0.2610567542062301, 0.9886914198839002, 0.9092139079631206, 0.7196675916072103]]
206-38-3122|[[0.0850173638163072, 0.12627722465649605, 0.2605788122900794, 0.9551986282487598, 0.7620908287720661], [0.32813061630788765, 0.5937392176605069, 0.3360160736476261, 0.7617146749755629, 0.36816815022916716], [0.3772460258197142, 0.0633109822464657, 0.0329457208207371, 0.41284387742275597, 0.8362055783940825], [0.01349241719215255, 0.046505173126453414, 0.3404017128216893, 0.2810788982170407, 0.7107339747925349], [0.9597299201674077, 0.9823402476394703, 0.8967574439044308, 0.7955444355020229, 0.04242630998471297]]
